clase,error,complejidad,rank
0,0.242211,0.0968007,1
0,0.422111,0.0813079,1
0,0.253266,0.0819728,1
0,0.251256,0.0910388,1
0,0.376884,0.0813362,1
0,0.345729,0.0813555,1
0,0.243216,0.0935974,1
0,0.407035,0.0813155,1
0,0.242211,0.0968007,1
0,0.249246,0.0926908,1
0,0.270352,0.0816241,1
0,0.250251,0.0912253,1
0,0.265327,0.0819712,1
0,0.328643,0.08136,1
0,0.247236,0.0931282,1
0,0.282412,0.0815511,1
0,0.295477,0.0814044,1
0,0.306533,0.0813909,1
0,0.326633,0.0813615,1
0,0.316583,0.0813661,1
0,0.315578,0.0813864,1
0,0.289447,0.0814155,1
0,0.302513,0.0813953,1
0,0.287437,0.0814561,1
0,0.285427,0.0814623,1
0,0.302513,0.0813953,1
0,0.283417,0.0814925,1
0,0.251256,0.0910388,1
0,0.302513,0.0813953,1
0,0.242211,0.0968007,1
0,0.422111,0.0813113,2
0,0.243216,0.0938146,2
0,0.253266,0.085046,2
0,0.252261,0.0910497,2
0,0.254271,0.0819728,2
0,0.379899,0.0813439,2
0,0.355779,0.0813557,2
0,0.325628,0.0813665,2
0,0.41005,0.081318,2
0,0.285427,0.0814885,2
0,0.249246,0.0928484,2
0,0.251256,0.0913392,2
0,0.309548,0.0814043,2
0,0.247236,0.0931286,2
0,0.303518,0.0814065,2
0,0.245226,0.0936221,2
0,0.297487,0.0814106,2
0,0.293467,0.0814218,2
0,0.289447,0.0814301,2
0,0.287437,0.0814798,2
0,0.245226,0.0936221,2
0,0.296482,0.0814189,2
0,0.243216,0.0968007,3
0,0.243216,0.0968007,3
0,0.422111,0.0813263,3
0,0.252261,0.0913126,3
0,0.257286,0.0819728,3
0,0.253266,0.0860028,3
0,0.372864,0.0813569,3
0,0.255276,0.085347,3
0,0.244221,0.0949394,3
0,0.297487,0.0814111,3
0,0.285427,0.0815642,3
0,0.325628,0.0814048,3
0,0.337688,0.0813714,3
0,0.358794,0.0813708,3
0,0.245226,0.09377,3
0,0.251256,0.0924239,3
0,0.364824,0.0813586,3
0,0.247236,0.0931287,3
0,0.328643,0.081378,3
0,0.249246,0.0929399,3
0,0.290452,0.0814392,3
0,0.289447,0.081518,3
0,0.285427,0.0815642,3
0,0.344724,0.0813741,4
0,0.249246,0.174649,4
0,0.254271,0.0910376,4
0,0.299497,0.0814118,4
0,0.330653,0.0813834,4
1,0.243216,0.0894687,1
1,0.673367,0.0801293,1
1,0.244221,0.0806363,1
1,0.669347,0.0801295,1
1,0.286432,0.0801485,1
1,0.248241,0.0806353,1
1,0.250251,0.080149,1
1,0.268342,0.0801486,1
1,0.279397,0.0801485,1
1,0.274372,0.0801486,1
1,0.261307,0.0801487,1
1,0.286432,0.0801485,1
1,0.258291,0.0801488,1
1,0.256281,0.0801488,1
1,0.244221,0.0806363,1
1,0.671357,0.0801294,1
1,0.253266,0.0801489,1
1,0.252261,0.0801489,1
1,0.244221,0.0806363,1
1,0.286432,0.0801485,1
1,0.682412,0.0801294,2
1,0.244221,0.0861309,2
1,0.246231,0.0806503,2
1,0.244221,0.0861309,2
1,0.304523,0.0801485,2
1,0.249246,0.0806363,2
1,0.251256,0.0801491,2
1,0.274372,0.0801486,2
1,0.288442,0.0801486,2
1,0.268342,0.0801486,2
1,0.297487,0.0801485,2
1,0.294472,0.0801485,2
1,0.262312,0.0801487,2
1,0.304523,0.0801485,2
1,0.289447,0.0801485,2
1,0.256281,0.0801488,2
1,0.259296,0.0801488,2
1,0.253266,0.080149,2
1,0.261307,0.0801488,2
1,0.254271,0.0801489,2
1,0.254271,0.0801489,2
1,0.244221,0.0887608,3
1,0.431156,0.0801485,3
1,0.245226,0.0861309,3
1,0.301508,0.0801485,3
1,0.248241,0.080922,3
1,0.284422,0.0801486,3
1,0.251256,0.0801493,3
1,0.274372,0.0801487,3
1,0.250251,0.0806372,3
1,0.294472,0.0801486,3
1,0.265327,0.0801487,3
1,0.278392,0.0801487,3
1,0.249246,0.0806374,3
1,0.248241,0.080922,3
1,0.297487,0.0801485,3
1,0.256281,0.0801489,3
1,0.263317,0.0801487,3
1,0.261307,0.0801488,3
1,0.253266,0.0801491,3
1,0.258291,0.0801489,3
1,0.259296,0.0801488,3
1,0.296482,0.0801486,3
1,0.254271,0.080149,3
1,0.254271,0.080149,3
1,0.248241,0.080922,3
1,0.248241,0.080922,3
1,0.248241,0.080922,3
1,0.248241,0.080922,3
1,0.248241,0.080922,3
1,0.248241,0.080922,3
1,0.248241,0.080922,3
1,0.248241,0.080922,3
1,0.248241,0.080922,3
1,0.248241,0.080922,3
1,0.444221,0.0801485,4
1,0.244221,0.0896065,4
1,0.244221,0.0896065,4
1,0.305528,0.0801485,4
1,0.248241,0.0809226,4
