f0,f1,label
-0.39397497,0.70422295,0.00000000
-0.92313407,0.20596937,0.00000000
-0.46355890,-0.73347444,0.00000000
-0.81917879,0.44620292,0.00000000
-0.33849771,0.40757306,1.00000000
-0.92152778,-0.46773715,1.00000000
0.18179294,0.52628591,1.00000000
-0.37355768,0.23794209,1.00000000
0.78732583,0.27251324,1.00000000
-0.49105738,-0.98035231,0.00000000
0.73184166,-0.94333218,1.00000000
0.73696879,0.13824155,1.00000000
0.90268414,0.63431036,0.00000000
1.02901228,-0.23990268,0.00000000
0.54342766,-0.26097977,0.00000000
-0.02026436,0.22244308,1.00000000
0.72092339,0.99748514,0.00000000
0.59846098,-0.16340286,0.00000000
-0.14184434,0.56027535,1.00000000
-0.51040805,-0.64896762,0.00000000
-0.26248020,-0.51356015,0.00000000
-0.36971668,-0.51372658,1.00000000
-0.85132598,-0.93059306,0.00000000
0.96852198,-0.20566864,0.00000000
-0.24179787,0.31676854,1.00000000
-0.59251840,0.92935129,1.00000000
0.65618525,-0.80144442,1.00000000
-0.22463260,0.78046675,0.00000000
0.94929562,-0.09568612,0.00000000
0.22012192,-0.66519770,0.00000000
0.94309234,-0.50424258,1.00000000
0.87941614,0.32026992,1.00000000
0.17109898,0.00350411,0.00000000
-0.50254131,-0.66558559,0.00000000
-0.47267939,-0.64710528,0.00000000
0.57040318,-0.25311994,0.00000000
-0.95523293,0.85016482,1.00000000
0.69128895,0.91863377,0.00000000
0.96222274,-0.52429954,1.00000000
-0.23572834,0.52570452,0.00000000
0.46914673,-0.59190354,0.00000000
0.73474143,-0.49070054,1.00000000
-0.50116164,0.10357519,0.00000000
0.22479792,0.13261313,0.00000000
-0.85793627,0.75475300,1.00000000
-0.47730915,-0.76363156,1.00000000
0.81231553,0.95906826,0.00000000
0.72867558,0.69290865,0.00000000
0.25339951,0.09203177,0.00000000
-0.86186760,-0.27642040,1.00000000
-0.25875700,-0.48657981,0.00000000
0.52251271,0.02329205,1.00000000
-0.88911691,-0.46692897,0.00000000
0.42756921,-0.81863340,0.00000000
0.69108962,-0.05767891,0.00000000
-0.05743718,0.23925300,1.00000000
0.74359125,-0.22721941,0.00000000
0.33158983,0.07548306,0.00000000
-0.45889915,0.66883800,0.00000000
0.61101043,0.30952354,1.00000000
0.67786163,0.65485325,0.00000000
0.44240596,0.64739161,1.00000000
0.33644708,0.21666843,0.00000000
0.23584701,0.59404586,1.00000000
-0.59972683,0.73888671,1.00000000
0.71357645,-0.91806672,1.00000000
0.60171423,-0.72717067,1.00000000
-0.29145828,0.54836317,1.00000000
-0.68348791,0.62575036,1.00000000
0.62036923,-0.02640855,1.00000000
-0.99855220,-0.40755546,1.00000000
0.27953307,0.92221341,1.00000000
0.33826148,-0.49394902,1.00000000
0.26694304,0.04261018,0.00000000
0.43847878,-0.74183645,1.00000000
0.55889800,0.06846678,1.00000000
0.92933354,-0.29045871,0.00000000
0.18711649,0.83760358,1.00000000
-0.75526731,0.81174250,1.00000000
0.39044934,-0.93215497,0.00000000
-0.37475137,0.41456210,1.00000000
-0.94605539,0.22257789,0.00000000
-0.34496346,0.20131841,1.00000000
-0.89848747,0.80050548,1.00000000
0.89618685,0.94083970,0.00000000
0.52074449,-0.70517224,0.00000000
0.52534847,-0.96917756,1.00000000
-0.99713241,-0.34847237,1.00000000
-0.07632057,0.39474731,0.00000000
0.38841874,-0.06299785,1.00000000
-0.57089329,0.94376247,0.00000000
-0.11667968,0.00564882,0.00000000
-0.67171267,0.55321895,1.00000000
0.37821963,-0.48971695,0.00000000
-0.86753612,0.32103900,0.00000000
0.28488525,-0.50114738,1.00000000
0.90786064,-0.61665029,1.00000000
-0.11917643,0.87461417,0.00000000
-0.17513593,0.19889235,1.00000000
-0.16065572,-0.45546146,0.00000000
0.95893130,-0.02167661,0.00000000
0.80313605,-0.57768034,1.00000000
-0.59510847,-0.88030955,0.00000000
0.30899717,-0.33486121,1.00000000
0.77467795,-0.08698739,0.00000000
1.03005174,-0.57494657,1.00000000
0.71488024,0.61724452,0.00000000
0.54523646,0.73220514,0.00000000
0.54628462,0.21012281,1.00000000
-0.76968774,-0.88344960,0.00000000
0.82495693,0.21311821,1.00000000
0.54531845,-0.01577534,0.00000000
-0.66225738,-0.80300506,0.00000000
0.37234155,-0.06877718,1.00000000
-0.60293262,0.00580768,1.00000000
-0.92470180,0.18535816,0.00000000
-0.47137040,0.64440470,0.00000000
-0.31990678,0.03991848,0.00000000
-0.94777726,-0.83881641,0.00000000
-0.20529367,-0.05778065,0.00000000
