f0,f1,label
-0.07111613,0.47491893,1.00000000
0.68984826,-0.37518474,1.00000000
0.80862771,0.56342302,0.00000000
0.26200092,0.23190049,1.00000000
0.08635567,0.92180712,0.00000000
0.48120955,0.90511956,0.00000000
1.33915658,-0.48024293,1.00000000
0.06636127,0.87720707,0.00000000
0.44018216,-0.33980200,1.00000000
-0.42357686,1.03851565,0.00000000
0.94202005,0.11091204,0.00000000
1.86605014,0.27215931,1.00000000
0.51587156,1.06186699,0.00000000
0.24309408,0.94157782,0.00000000
-0.54176585,0.74894900,0.00000000
0.89298259,0.70550774,0.00000000
0.59487414,-0.75701760,1.00000000
1.87179364,0.16570806,1.00000000
0.11765407,0.14329933,1.00000000
2.26570649,0.34285965,1.00000000
0.43294802,0.95980240,0.00000000
1.14795820,0.31430650,0.00000000
2.10440121,0.64538382,1.00000000
0.59914822,-0.44112337,1.00000000
1.06694340,0.17043635,0.00000000
2.07409271,0.61175280,1.00000000
-0.32726233,0.84370167,0.00000000
-0.00487820,-0.07461318,1.00000000
0.45851596,-0.39432527,1.00000000
0.11355040,0.80379399,0.00000000
2.23124525,0.28971432,1.00000000
-1.18125191,-0.02911789,0.00000000
0.72163281,-0.32692165,1.00000000
0.70114030,0.75565187,0.00000000
0.11140118,-0.05984761,1.00000000
-0.24993648,1.04045547,0.00000000
0.04023244,0.69620477,0.00000000
1.86334802,-0.20404157,1.00000000
-0.85290174,0.52084658,0.00000000
-0.45273181,0.82729951,0.00000000
1.72978655,0.27410521,1.00000000
0.81779644,0.89189800,0.00000000
0.26851153,0.73066703,0.00000000
0.87422659,0.87260360,0.00000000
0.04101984,0.83566910,0.00000000
2.02300875,0.21615407,1.00000000
-0.72304697,1.02463013,0.00000000
-1.08788531,0.27821315,0.00000000
0.97057723,0.21966080,0.00000000
-1.13303554,0.43942821,0.00000000
1.01975490,0.72471858,0.00000000
1.34644953,-0.43053893,1.00000000
1.53229655,-0.14338653,1.00000000
0.37324407,0.68998357,0.00000000
1.68587447,0.12734552,1.00000000
0.97547959,0.61314394,0.00000000
0.01759392,0.21359364,1.00000000
-0.88259232,0.53738440,0.00000000
1.08890454,0.31294064,0.00000000
-1.08806867,0.62302133,0.00000000
-0.53010853,1.05092258,0.00000000
0.80463105,-0.77759962,1.00000000
0.26772907,-0.48701445,1.00000000
0.57146229,1.01369479,0.00000000
0.07345558,1.08012361,0.00000000
1.00864365,0.64009226,0.00000000
1.65616738,-0.38874609,1.00000000
0.39591680,-0.38566732,1.00000000
1.61223499,0.59255634,1.00000000
0.12174377,1.00362337,0.00000000
1.29280092,-0.40531054,1.00000000
-0.66747745,0.83505319,0.00000000
0.92610466,-0.00457463,0.00000000
0.62350885,0.88101944,0.00000000
2.03999608,0.35864014,1.00000000
0.12096082,-0.19925839,1.00000000
-0.05860856,0.01286964,1.00000000
1.70856060,0.28227246,1.00000000
-1.04833667,0.22391073,0.00000000
0.63615410,-0.60197366,1.00000000
0.92464468,0.03992106,0.00000000
0.86309799,0.04026358,0.00000000
-0.22668782,0.57038040,1.00000000
0.27727116,-0.11255804,1.00000000
0.72526087,-0.39739676,1.00000000
0.36010007,0.86696497,0.00000000
0.48356975,-0.25441835,1.00000000
1.07477042,-0.50178633,1.00000000
0.07207039,0.88934229,0.00000000
0.32244372,0.93252314,0.00000000
0.02854013,0.01875938,1.00000000
1.58292313,-0.06029459,1.00000000
-0.23999267,0.98664518,0.00000000
0.28885395,0.27964006,1.00000000
-1.05199223,0.49886901,0.00000000
1.11597329,-0.57130140,1.00000000
1.78965952,-0.03946731,1.00000000
2.00532695,0.16584123,1.00000000
-0.33810110,-0.11776061,1.00000000
0.29952047,1.06005265,0.00000000
0.17838202,0.20513682,1.00000000
0.04451468,0.92780628,0.00000000
1.14071177,0.32869472,0.00000000
0.53957021,0.98378011,0.00000000
-0.73959428,0.70008382,0.00000000
1.11740305,0.41815141,0.00000000
0.99303020,0.22740395,0.00000000
-0.86241361,1.12401698,0.00000000
1.72880849,-0.05987483,1.00000000
1.99019661,-0.17575167,1.00000000
-0.50624368,1.09183083,0.00000000
2.05121988,0.39960417,1.00000000
0.65340059,-0.31211142,1.00000000
2.03535242,0.09046958,1.00000000
1.03330712,-0.80860012,1.00000000
0.93524339,0.64651348,0.00000000
0.55978045,0.82614351,0.00000000
0.85711775,-0.61073355,1.00000000
1.23628616,-0.53153063,1.00000000
0.78224362,-0.45539381,1.00000000
-0.99296845,0.69113927,0.00000000
-0.22489956,1.14557165,0.00000000
0.92882349,0.25365255,0.00000000
1.93398820,0.12547325,1.00000000
1.04698253,0.32681427,0.00000000
-0.98527663,0.24708374,0.00000000
1.63258402,-0.22834560,1.00000000
1.78549585,-0.40082289,1.00000000
-1.05899497,0.49021539,0.00000000
0.26862496,-0.14679963,1.00000000
1.30050733,-0.47321431,1.00000000
-0.54279942,0.63587156,0.00000000
0.65782626,-0.25508076,1.00000000
-0.88025827,0.22269452,0.00000000
-0.23223113,1.05064867,0.00000000
-1.17235156,-0.17001119,0.00000000
0.14703174,-0.01530916,1.00000000
0.52087119,-0.54896515,1.00000000
-0.19397221,0.25064819,1.00000000
1.06565772,-0.80960363,1.00000000
1.04426671,0.34207535,0.00000000
-0.19794837,0.71818919,0.00000000
0.92644781,-0.24396786,1.00000000
-0.54637966,0.93801668,0.00000000
-1.22734013,-0.12303683,0.00000000
0.79163731,-0.34424868,1.00000000
0.59500537,0.55677311,0.00000000
-0.10606693,0.95442743,0.00000000
-0.89030862,0.16965705,0.00000000
1.96242452,-0.01644330,1.00000000
1.26479197,0.08340366,0.00000000
1.58950136,-0.23860955,1.00000000
0.36086845,-0.03362386,1.00000000
-0.78004815,0.77287014,0.00000000
1.08365185,0.03499642,0.00000000
-0.71685312,0.15017679,0.00000000
-0.08724693,1.01925007,0.00000000
0.40256114,0.95927319,0.00000000
1.38983756,-0.71899631,1.00000000
1.88767989,0.16339371,1.00000000
2.22862866,0.42771353,1.00000000
0.10195705,0.22214758,1.00000000
1.14696835,-0.56803727,1.00000000
-0.91459904,0.49402097,0.00000000
1.81543231,-0.06746075,1.00000000
0.26759860,0.96461423,0.00000000
2.04050626,0.13124755,1.00000000
-0.75590638,0.61281767,0.00000000
-0.56712213,0.82746727,0.00000000
0.02975134,0.14102846,1.00000000
0.21613524,0.79933004,0.00000000
0.42200283,0.97751816,0.00000000
-0.10614634,1.05570316,0.00000000
0.32108273,0.93871787,0.00000000
-0.59648328,0.89418363,0.00000000
1.05730309,-0.18713889,1.00000000
-0.23967948,1.14876228,0.00000000
0.27763389,-0.41550063,1.00000000
0.13368395,1.09375217,0.00000000
1.11700907,0.22304301,0.00000000
0.70191850,0.62835226,0.00000000
-0.64805234,0.92137758,0.00000000
-0.27584562,1.17502976,0.00000000
-0.81869080,0.37328310,0.00000000
0.43803920,0.80744146,0.00000000
-1.00763924,0.29192770,0.00000000
1.31626610,-0.38704950,1.00000000
-0.29207139,0.30589786,1.00000000
1.61134942,-0.60212508,1.00000000
-0.52184053,0.09044172,0.00000000
-0.77772009,0.86222802,0.00000000
-0.47034658,1.04233776,0.00000000
2.01159858,0.30736110,1.00000000
0.03484555,0.87533586,0.00000000
1.29294079,-0.42928670,1.00000000
1.71097734,-0.27057385,1.00000000
